FONTES,F.M.,C.P.,A.D.,Refrig.,Ilumin.,Eletroq.,Outras,Total
Gas natural,0,0.873205317,0.126794683,0,0,0,0,1
Carvao mineral,0,0.7424,0.2576,0,0,0,0,1
Carvao metalurgico,0,0,0,0,0,0,0,0
Lenha,0,0.791324961,0.208675039,0,0,0,0,1
Bagaco de cana,0,1,0,0,0,0,0,1
Outras fontes,0,0.5,0.5,0,0,0,0,1
Oleo diesel,0.9517,0.0203,0.028,0,0,0,0,1
Oleo combustivel,0,1,0,0,0,0,0,1
Gasolina,0,0,0,0,0,0,0,0
GLP,0.276388083,0.179091441,0.544520476,0,0,0,0,1
Querosene,0,0.452,0.548,0,0,0,0,1
Gas,0,0,0,0,0,0,0,0
Coque de carvao mineral,0,0,0,0,0,0,0,0
Eletricidade,0.735729968,0,0,0.212944333,0.0513257,0,0,1
Carvao vegetal,0,0,0,0,0,0,0,0
Alcool etilico,0,0,0,0,0,0,0,0
Outras fontes secundarias,0,0.5,0.5,0,0,0,0,1
Alcatrao,0,0,0,0,0,0,0,0
