Product,2010,2015,2019
Chlorine,3380000,3627000,3373931
Phosphoric acid,991000,424250,362099
Nitric acid,500491,510155,2753
Sulfuric acid,5785285,2716243,2297955
Ammonia,1514870,1461363,363450
Ammonium phosphate,1214000,1483000,1788000
Ammonium nitrate,518000,672000,1283000
Ammonium sulfate,411484,273486,227498
Urea,1967508,2076816,1636000
Ethylene,2868800,3357935,2706421
Propene,1323273,1575888,1334021
Butadiene ,328000,328000,328000
BTX,1093000,1307000,956000
Styrene ,440865,503685,550059
Terephthalic acid,206000,206000,206000
Dichloroethane ,547000,547000,547000
Vinyl chloride,456840,456840,456840
Formaldehyde,323726,402741,308936
Methanol,208481, -   ,641
Ethylene oxide,289724,289724,289724
Ethylene glycol,203927,164389,177457
SBR,36583,98473,98473
Polyethylene ,1812000,1364000,1766000
Polypropylene ,1672306,1664373,1795183
PVC,1093321,1206195,1072160
PET,581799,555855,543305
Polystyrene ,314000,525000,890880
Adipic acid,75150,86290,86290
Acrylonitrile,76780,94500,94500
Coque de petroleo calcinado,300830,485060,468040
Negro-de-fumo,280140,400060,400060
ABS,33000,33000,27956
