Name,Step,Electricity saving  (%),Fuel saving (%),CAPEX (R$/t),OPEX (R$/t),Penetration_limit
Manutencao do forno,Aquecimento direto,0,0.002,9,0.45,1
Manutencao do secador,Aquecimento direto,0,0.0004,9,0.45,1
Reaproveitamento de calor,Aquecimento direto,0,0.0117,30,1.5,1
Eletrificacao,Aquecimento direto,0,0,84,0,0.5
Manutencao do forno,Calor de processo,0,0.002,9,0.45,1
Manutencao do secador,Calor de processo,0,0.0004,9,0.45,1
Reaproveitamento de calor,Calor de processo,0,0.0117,30,1.5,1
Eletrificacao,Calor de processo,0,0,84,0,0.5


